"","variable","permutation","dropout_loss","label","Model"
"170","pH",8,0.00439598578647538,"workflow","RF"
"171","clay",8,0.0111000930521936,"workflow","RF"
"172","om",8,0.0176681981418758,"workflow","RF"
"173","thetas",8,0.0079680429393878,"workflow","RF"
"174","ADI",8,0.0196682301423883,"workflow","RF"
"175","PRATIO",8,0.0259563307519971,"workflow","RF"
"176","DD_0",8,0.0179242022379407,"workflow","RF"
"177","GSP",8,0.00439598578647538,"workflow","RF"
"178","TD",8,0.00439598578647538,"workflow","RF"
"179","RH",8,0.0174961953898288,"workflow","RF"
"180","_baseline_",8,0.361185694421814,"workflow","RF"
"181","_full_model_",9,-0.0183563597490995,"workflow","RF"
"182","aspen.prob",9,-0.0183563597490995,"workflow","RF"
"183","cell",9,-0.0183563597490995,"workflow","RF"
"184","x",9,0.00930831042913838,"workflow","RF"
"185","y",9,-0.0102447061672545,"workflow","RF"
"186","tpi3",9,-0.00748064616829858,"workflow","RF"
"187","tpi15",9,-0.0183563597490995,"workflow","RF"
"188","hli",9,-0.0138512227696675,"workflow","RF"
"189","elev",9,-0.00314400050955799,"workflow","RF"
"190","pH",9,-0.0183563597490995,"workflow","RF"
"191","clay",9,-0.0113960635253121,"workflow","RF"
"192","om",9,-0.00457617673543265,"workflow","RF"
"193","thetas",9,-0.0116006601290096,"workflow","RF"
"194","ADI",9,0.00881888325951108,"workflow","RF"
"195","PRATIO",9,0.0102871647683934,"workflow","RF"
"196","DD_0",9,0.00346727797851598,"workflow","RF"
"197","GSP",9,-0.0183563597490995,"workflow","RF"
"198","TD",9,-0.0183563597490995,"workflow","RF"
"199","RH",9,-0.011171408431057,"workflow","RF"
"200","_baseline_",9,0.356649156335802,"workflow","RF"
"201","_full_model_",10,0.000998685536454325,"workflow","RF"
"202","aspen.prob",10,0.000998685536454325,"workflow","RF"
"203","cell",10,0.000998685536454325,"workflow","RF"
"204","x",10,0.0263579789928982,"workflow","RF"
"205","y",10,0.0112034225898453,"workflow","RF"
"206","tpi3",10,0.0146638802373764,"workflow","RF"
"207","tpi15",10,0.000998685536454325,"workflow","RF"
"208","hli",10,0.00772289268217707,"workflow","RF"
"209","elev",10,0.0177911383666419,"workflow","RF"
"210","pH",10,0.000998685536454325,"workflow","RF"
"211","clay",10,0.00919619657619408,"workflow","RF"
"212","om",10,0.0157317244766401,"workflow","RF"
"213","thetas",10,0.010163679514775,"workflow","RF"
"214","ADI",10,0.0174619533004058,"workflow","RF"
"215","PRATIO",10,0.0214723908756769,"workflow","RF"
"216","DD_0",10,0.0131022583987601,"workflow","RF"
"217","GSP",10,0.000998685536454325,"workflow","RF"
"218","TD",10,0.000998685536454325,"workflow","RF"
"219","RH",10,0.0136763250386623,"workflow","RF"
"220","_baseline_",10,0.38070964499049,"workflow","RF"
