"","ADI","bFFP","CMD","CMI","DD_0","DD_18","DD1040","DD18","DD5","eFFP","EMT","Eref","EXT","FFP","GSP","GSPDD5","MAP","MAR","MAT","MCMT","MWMT","NFFD","PAS","PPT_at","PPT_sm","PPT_sp","PPT_wt","PRATIO","RH","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","TMAX"
"EXT",0.77,-0.78,0.85,-0.83,-0.76,-0.86,0.91,0.78,0.91,0.76,0.63,0.86,1,0.78,-0.61,0.66,-0.64,-0.4,0.86,0.64,0.95,0.79,-0.76,-0.53,-0.37,-0.59,-0.55,0.36,-0.22,0.86,0.94,0.88,0.67,0.68,0.99
"FFP",0.67,-0.99,0.65,-0.69,-0.93,-0.95,0.94,0.84,0.94,0.99,0.92,0.83,0.78,1,-0.31,0.86,-0.47,-0.12,0.96,0.9,0.92,0.99,-0.74,-0.39,0,-0.51,-0.47,0.4,0.2,0.95,0.93,0.94,0.92,0.27,0.82
"GSP",-0.7,0.33,-0.79,0.73,0.28,0.4,-0.47,-0.38,-0.47,-0.29,-0.12,-0.5,-0.61,-0.31,1,0.07,0.78,0.22,-0.4,-0.13,-0.52,-0.32,0.59,0.61,0.74,0.73,0.53,-0.13,0.35,-0.4,-0.51,-0.44,-0.17,-0.69,-0.62
"GSPDD5",0.44,-0.85,0.43,-0.51,-0.87,-0.86,0.81,0.72,0.82,0.85,0.85,0.75,0.66,0.86,0.07,1,-0.25,-0.15,0.86,0.89,0.78,0.86,-0.6,-0.25,0.32,-0.29,-0.36,0.47,0.12,0.86,0.8,0.84,0.89,0.05,0.69
"MAP",-0.88,0.51,-0.8,0.93,0.51,0.58,-0.6,-0.53,-0.61,-0.41,-0.34,-0.65,-0.64,-0.47,0.78,-0.25,1,0.32,-0.58,-0.41,-0.61,-0.47,0.89,0.94,0.25,0.91,0.94,-0.7,0.36,-0.59,-0.61,-0.61,-0.44,-0.43,-0.68
"MAR",-0.3,0.15,-0.25,0.3,0.09,0.17,-0.24,-0.22,-0.22,-0.08,-0.16,-0.17,-0.4,-0.12,0.22,-0.15,0.32,1,-0.17,-0.06,-0.27,-0.15,0.23,0.4,0.23,0.09,0.31,-0.31,0.01,-0.16,-0.26,-0.18,-0.06,-0.37,-0.34
"MAT",0.76,-0.95,0.78,-0.81,-0.97,-1,0.97,0.86,0.98,0.94,0.87,0.94,0.86,0.96,-0.4,0.86,-0.58,-0.17,1,0.92,0.96,0.96,-0.83,-0.5,-0.01,-0.63,-0.57,0.48,-0.05,1,0.97,0.99,0.95,0.3,0.91
"MCMT",0.59,-0.89,0.55,-0.64,-0.97,-0.92,0.84,0.75,0.86,0.88,0.92,0.82,0.64,0.9,-0.13,0.89,-0.41,-0.06,0.92,1,0.8,0.9,-0.73,-0.39,0.26,-0.48,-0.49,0.51,0.08,0.92,0.82,0.89,1,-0.07,0.7
"MWMT",0.78,-0.92,0.82,-0.82,-0.88,-0.95,0.98,0.86,0.98,0.9,0.8,0.9,0.95,0.92,-0.52,0.78,-0.61,-0.27,0.96,0.8,1,0.93,-0.79,-0.5,-0.23,-0.59,-0.54,0.4,-0.04,0.95,1,0.96,0.83,0.54,0.97
"NFFD",0.66,-0.98,0.65,-0.69,-0.94,-0.96,0.93,0.81,0.94,0.99,0.94,0.83,0.79,0.99,-0.32,0.86,-0.47,-0.15,0.96,0.9,0.93,1,-0.74,-0.4,-0.02,-0.51,-0.47,0.39,0.21,0.95,0.94,0.94,0.92,0.28,0.82
"PAS",-0.84,0.76,-0.77,0.94,0.81,0.83,-0.79,-0.64,-0.81,-0.7,-0.63,-0.83,-0.76,-0.74,0.59,-0.6,0.89,0.23,-0.83,-0.73,-0.79,-0.74,1,0.82,0.02,0.89,0.89,-0.7,0.24,-0.84,-0.81,-0.84,-0.75,-0.3,-0.8
"PPT_at",-0.81,0.45,-0.68,0.85,0.44,0.5,-0.51,-0.47,-0.52,-0.32,-0.33,-0.57,-0.53,-0.39,0.61,-0.25,0.94,0.4,-0.5,-0.39,-0.5,-0.4,0.82,1,0.06,0.8,0.93,-0.8,0.29,-0.51,-0.51,-0.53,-0.41,-0.28,-0.56
"PPT_sm",-0.21,0,-0.37,0.2,-0.12,0,-0.14,-0.09,-0.11,-0.01,0.14,-0.05,-0.37,0,0.74,0.32,0.25,0.23,-0.01,0.26,-0.23,-0.02,0.02,0.06,1,0.1,-0.04,0.4,0.09,0,-0.2,-0.04,0.23,-0.74,-0.31
"PPT_sp",-0.83,0.54,-0.8,0.9,0.59,0.63,-0.61,-0.5,-0.63,-0.47,-0.35,-0.72,-0.59,-0.51,0.73,-0.29,0.91,0.09,-0.63,-0.48,-0.59,-0.51,0.89,0.8,0.1,1,0.83,-0.6,0.42,-0.65,-0.61,-0.66,-0.52,-0.31,-0.65
"PPT_wt",-0.82,0.52,-0.66,0.87,0.53,0.57,-0.57,-0.51,-0.58,-0.41,-0.39,-0.61,-0.55,-0.47,0.53,-0.36,0.94,0.31,-0.57,-0.49,-0.54,-0.47,0.89,0.93,-0.04,0.83,1,-0.87,0.3,-0.58,-0.56,-0.59,-0.5,-0.22,-0.59
"PRATIO",0.69,-0.46,0.44,-0.66,-0.48,-0.48,0.45,0.45,0.46,0.33,0.4,0.5,0.36,0.4,-0.13,0.47,-0.7,-0.31,0.48,0.51,0.4,0.39,-0.7,-0.8,0.4,-0.6,-0.87,1,-0.2,0.49,0.42,0.49,0.51,-0.05,0.4
"RH",-0.31,-0.17,-0.45,0.38,0.01,0.05,-0.05,-0.03,-0.07,0.23,0.41,-0.33,-0.22,0.2,0.35,0.12,0.36,0.01,-0.05,0.08,-0.04,0.21,0.24,0.29,0.09,0.42,0.3,-0.2,1,-0.09,-0.05,-0.11,0.05,-0.18,-0.24
"Tave_at",0.77,-0.94,0.79,-0.82,-0.97,-1,0.96,0.85,0.98,0.93,0.85,0.95,0.86,0.95,-0.4,0.86,-0.59,-0.16,1,0.92,0.95,0.95,-0.84,-0.51,0,-0.65,-0.58,0.49,-0.09,1,0.96,0.99,0.94,0.29,0.91
"Tave_sm",0.79,-0.93,0.82,-0.83,-0.9,-0.97,0.99,0.87,0.99,0.91,0.81,0.92,0.94,0.93,-0.51,0.8,-0.61,-0.26,0.97,0.82,1,0.94,-0.81,-0.51,-0.2,-0.61,-0.56,0.42,-0.05,0.96,1,0.97,0.85,0.51,0.97
"Tave_sp",0.79,-0.94,0.82,-0.84,-0.96,-0.99,0.97,0.86,0.99,0.92,0.83,0.96,0.88,0.94,-0.44,0.84,-0.61,-0.18,0.99,0.89,0.96,0.94,-0.84,-0.53,-0.04,-0.66,-0.59,0.49,-0.11,0.99,0.97,1,0.92,0.34,0.92
"Tave_wt",0.62,-0.91,0.6,-0.67,-0.98,-0.95,0.87,0.78,0.89,0.9,0.91,0.85,0.67,0.92,-0.17,0.89,-0.44,-0.06,0.95,1,0.83,0.92,-0.75,-0.41,0.23,-0.52,-0.5,0.51,0.05,0.94,0.85,0.92,1,-0.02,0.74
"TD",0.47,-0.28,0.58,-0.47,-0.11,-0.29,0.46,0.38,0.43,0.26,0.04,0.35,0.68,0.27,-0.69,0.05,-0.43,-0.37,0.3,-0.07,0.54,0.28,-0.3,-0.28,-0.74,-0.31,-0.22,-0.05,-0.18,0.29,0.51,0.34,-0.02,1,0.63
"TMAX",0.81,-0.82,0.89,-0.88,-0.81,-0.9,0.94,0.81,0.94,0.79,0.66,0.92,0.99,0.82,-0.62,0.69,-0.68,-0.34,0.91,0.7,0.97,0.82,-0.8,-0.56,-0.31,-0.65,-0.59,0.4,-0.24,0.91,0.97,0.92,0.74,0.63,1
