"","variable","permutation","dropout_loss","label","Model"
"173","y",8,1.0922752206116,"workflow","GLM"
"174","tpi3",8,1.1657007774558,"workflow","GLM"
"175","tpi15",8,1.0922752206116,"workflow","GLM"
"176","hli",8,1.0922752206116,"workflow","GLM"
"177","elev",8,1.0922752206116,"workflow","GLM"
"178","pH",8,1.0922752206116,"workflow","GLM"
"179","clay",8,1.0922752206116,"workflow","GLM"
"180","om",8,1.26764179387592,"workflow","GLM"
"181","thetas",8,1.11761451106196,"workflow","GLM"
"182","ADI",8,1.53250160309028,"workflow","GLM"
"183","PRATIO",8,1.77456772799171,"workflow","GLM"
"184","GSPDD5",8,1.24589904787658,"workflow","GLM"
"185","GSP",8,1.0922752206116,"workflow","GLM"
"186","TD",8,1.13405585712377,"workflow","GLM"
"187","DD_0",8,1.0922752206116,"workflow","GLM"
"188","RH",8,1.12536810039794,"workflow","GLM"
"189","_baseline_",8,2.98281983005631,"workflow","GLM"
"190","_full_model_",9,1.10827555114972,"workflow","GLM"
"191","aspen.prob",9,1.10827555114972,"workflow","GLM"
"192","cell",9,1.10827555114972,"workflow","GLM"
"193","x",9,1.10827555114972,"workflow","GLM"
"194","y",9,1.10827555114972,"workflow","GLM"
"195","tpi3",9,1.21415001068108,"workflow","GLM"
"196","tpi15",9,1.10827555114972,"workflow","GLM"
"197","hli",9,1.10827555114972,"workflow","GLM"
"198","elev",9,1.10827555114972,"workflow","GLM"
"199","pH",9,1.10827555114972,"workflow","GLM"
"200","clay",9,1.10827555114972,"workflow","GLM"
"201","om",9,1.2133101075204,"workflow","GLM"
"202","thetas",9,1.12705671904808,"workflow","GLM"
"203","ADI",9,1.48126254641804,"workflow","GLM"
"204","PRATIO",9,1.83448848676723,"workflow","GLM"
"205","GSPDD5",9,1.35583700775775,"workflow","GLM"
"206","GSP",9,1.10827555114972,"workflow","GLM"
"207","TD",9,1.13984191160497,"workflow","GLM"
"208","DD_0",9,1.10827555114972,"workflow","GLM"
"209","RH",9,1.16695211917998,"workflow","GLM"
"210","_baseline_",9,2.8929297837171,"workflow","GLM"
"211","_full_model_",10,0.967412978378451,"workflow","GLM"
"212","aspen.prob",10,0.967412978378451,"workflow","GLM"
"213","cell",10,0.967412978378451,"workflow","GLM"
"214","x",10,0.967412978378451,"workflow","GLM"
"215","y",10,0.967412978378451,"workflow","GLM"
"216","tpi3",10,1.02030270060832,"workflow","GLM"
"217","tpi15",10,0.967412978378451,"workflow","GLM"
"218","hli",10,0.967412978378451,"workflow","GLM"
"219","elev",10,0.967412978378451,"workflow","GLM"
"220","pH",10,0.967412978378451,"workflow","GLM"
"221","clay",10,0.967412978378451,"workflow","GLM"
"222","om",10,1.14525962705879,"workflow","GLM"
"223","thetas",10,0.967599620538944,"workflow","GLM"
"224","ADI",10,1.3273757151604,"workflow","GLM"
"225","PRATIO",10,1.73000951588521,"workflow","GLM"
"226","GSPDD5",10,1.20276874276086,"workflow","GLM"
"227","GSP",10,0.967412978378451,"workflow","GLM"
"228","TD",10,0.98570391010682,"workflow","GLM"
"229","DD_0",10,0.967412978378451,"workflow","GLM"
"230","RH",10,0.97849485665776,"workflow","GLM"
"231","_baseline_",10,3.03008881507341,"workflow","GLM"
