"layer","level","class","id","metric","value"
1,"patch",0,342,"area",7.29
1,"patch",0,343,"area",0.81
1,"patch",0,344,"area",0.81
1,"patch",0,345,"area",0.81
1,"patch",0,346,"area",0.81
1,"patch",0,347,"area",3.24
1,"patch",0,348,"area",4.86
1,"patch",0,349,"area",0.81
1,"patch",0,350,"area",1.62
1,"patch",0,351,"area",4.86
1,"patch",0,352,"area",0.81
1,"patch",0,353,"area",0.81
1,"patch",0,354,"area",0.81
1,"patch",0,355,"area",0.81
1,"patch",0,356,"area",1.62
1,"patch",0,357,"area",6.48
1,"patch",0,358,"area",0.81
1,"patch",0,359,"area",0.81
1,"patch",0,360,"area",4.05
1,"patch",0,361,"area",0.81
1,"patch",0,362,"area",0.81
1,"patch",0,363,"area",0.81
1,"patch",0,364,"area",0.81
1,"patch",0,365,"area",3.24
1,"patch",0,366,"area",0.81
1,"patch",0,367,"area",7.29
1,"patch",0,368,"area",0.81
1,"patch",0,369,"area",2.43
1,"patch",0,370,"area",0.81
1,"patch",0,371,"area",0.81
1,"patch",0,372,"area",0.81
1,"patch",0,373,"area",7.29
1,"patch",0,374,"area",8.1
1,"patch",0,375,"area",4.05
1,"patch",0,376,"area",0.81
1,"patch",0,377,"area",2.43
1,"patch",0,378,"area",0.81
1,"patch",0,379,"area",1.62
1,"patch",0,380,"area",3.24
1,"patch",0,381,"area",3.24
1,"patch",0,382,"area",1.62
1,"patch",0,383,"area",8.1
1,"patch",0,384,"area",0.81
1,"patch",0,385,"area",4.05
1,"patch",0,386,"area",2.43
1,"patch",0,387,"area",2.43
1,"patch",0,388,"area",8.91
1,"patch",0,389,"area",0.81
1,"patch",0,390,"area",1.62
1,"patch",0,391,"area",3.24
1,"patch",0,392,"area",0.81
1,"patch",0,393,"area",0.81
1,"patch",0,394,"area",0.81
1,"patch",0,395,"area",4.86
1,"patch",0,396,"area",21.06
1,"patch",0,397,"area",1.62
1,"patch",0,398,"area",0.81
1,"patch",0,399,"area",0.81
1,"patch",0,400,"area",0.81
1,"patch",0,401,"area",0.81
1,"patch",0,402,"area",0.81
1,"patch",0,403,"area",0.81
1,"patch",0,404,"area",4.05
1,"patch",0,405,"area",0.81
1,"patch",0,406,"area",0.81
1,"patch",0,407,"area",0.81
1,"patch",0,408,"area",0.81
1,"patch",0,409,"area",5.67
1,"patch",0,410,"area",0.81
1,"patch",0,411,"area",0.81
1,"patch",0,412,"area",0.81
1,"patch",0,413,"area",0.81
1,"patch",0,414,"area",0.81
1,"patch",0,415,"area",0.81
1,"patch",0,416,"area",0.81
1,"patch",0,417,"area",0.81
1,"patch",0,418,"area",0.81
1,"patch",0,419,"area",5.67
1,"patch",0,420,"area",0.81
1,"patch",0,421,"area",0.81
1,"patch",0,422,"area",8.91
1,"patch",0,423,"area",3.24
1,"patch",0,424,"area",0.81
1,"patch",0,425,"area",12.15
1,"patch",0,426,"area",3.24
1,"patch",0,427,"area",17.01
1,"patch",0,428,"area",10.53
1,"patch",0,429,"area",0.81
1,"patch",0,430,"area",0.81
1,"patch",0,431,"area",4.86
1,"patch",0,432,"area",1.62
1,"patch",0,433,"area",4.05
1,"patch",0,434,"area",5.67
1,"patch",0,435,"area",0.81
1,"patch",0,436,"area",0.81
1,"patch",0,437,"area",0.81
1,"patch",0,438,"area",1.62
1,"patch",0,439,"area",0.81
1,"patch",0,440,"area",42.12
1,"patch",0,441,"area",9.72
