"","aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","DD_0","GSP","TD","RH"
"5119","1",0.469135791063309,34220307,504305,4201455,-0.470130562782288,-4.08430337905884,0.64818286895752,2157.13549804688,6.43545866012573,19.2755832672119,0.272748410701752,0.513050258159637,0.0714077278971672,0.626517236232758,291.525634765625,400.560516357422,20.891357421875,52.0093650817871
"5120","1",0.0864197537302971,10512413,317645,4574775,0.0914994701743126,2.51714849472046,0.789422452449799,2648.06005859375,5.68763065338135,10.9968719482422,0.507129609584808,0.527755975723267,0.039824802428484,0.383019477128983,952.946411132812,322.729339599609,23.0569839477539,55.0799713134766
"5121","1",0.0740740746259689,25388766,336365,4340505,-1.09376680850983,-11.1530113220215,0.661092877388,2635.52465820312,6.5273289680481,19.6613311767578,0.727656602859497,0.53308093547821,0.0572760626673698,0.466340661048889,780.209350585938,292.187835693359,21.9180583953857,49.6760215759277
"5122","1",0.481481492519379,29342973,284795,4278225,1.79153335094452,32.044303894043,0.911174833774567,3107.70751953125,6.05590105056763,17.0502109527588,0.625812292098999,0.524772882461548,0.0564441941678524,0.48191374540329,908.160766601562,287.512847900391,21.6498165130615,54.1902351379395
"5123","1",0.444444447755814,12575638,327545,4542285,-0.819823801517487,-4.76438140869141,0.832619786262512,2344.69555664062,7.05812358856201,20.16162109375,0.339498192071915,0.522128641605377,0.0567872412502766,0.408878326416016,797.010620117188,272.486389160156,23.4824409484863,52.1562805175781
"5124","1",0.296296298503876,12038679,350135,4550745,0.593226671218872,7.75906610488892,0.717183649539948,2694.60766601562,6.31349277496338,15.54123878479,0.415385812520981,0.52078104019165,0.0376569516956806,0.394591242074966,1037.77087402344,343.296020507812,22.5738849639893,54.3701324462891
"5125","1",0.0246913582086563,37503963,282095,4149705,-0.221838146448135,-13.7876300811768,0.95461916923523,2539.09521484375,6.14288234710693,15.6370887756348,0.718453526496887,0.571745157241821,0.0445446223020554,0.473712116479874,585.322204589844,384.978637695312,20.5946846008301,48.4992408752441
"5126","1",0.604938268661499,23879590,298925,4364265,-0.0893490165472031,-3.23638701438904,0.66017472743988,2532.2734375,6.45690727233887,17.420238494873,0.671287298202515,0.519419193267822,0.0611577220261097,0.461865991353989,591.274841308594,303.808410644531,22.1578636169434,56.7921829223633
"5127","1",0.123456791043282,22829021,388115,4380825,-0.436363637447357,-5.12834882736206,0.883224189281464,3441.80102539062,5.01070070266724,12.2393026351929,0.375219494104385,0.546826362609863,0.0304534826427698,0.440003573894501,1254.11889648438,366.671936035156,20.6971035003662,57.068058013916
"5128","1",1,38939043,337445,4127115,0.509570956230164,5.31348657608032,0.821665108203888,2826.048828125,6.22869253158569,16.386682510376,0.522895455360413,0.526552855968475,0.040008582174778,0.434126645326614,747.883728027344,385.547180175781,21.0911426544189,52.0088043212891
