"aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","GSPDD5","GSP","TD","DD_0","RH"
"0",0,45615461,454265,4021995,1.05880737304688,7.0656008720398,0.897225260734558,2669.16455078125,6.83632230758667,16.4929618835449,0.209105879068375,0.477917641401291,0.0695139765739441,0.551136076450348,472.930694580078,313.841491699219,20.4159374237061,500.493774414062,51.4205474853516
"0",0,34721587,356705,4193535,-0.153047904372215,-1.53785955905914,0.749227106571198,3651.98681640625,5.0578761100769,12.9747772216797,0.636719524860382,0.48748368024826,0.0181539636105299,0.412219226360321,296.830902099609,534.501403808594,19.5922412872314,1253.2080078125,55.1075401306152
"0",0,11346789,316385,4561635,-0.235998913645744,-7.07867860794067,0.743172347545624,2508.71655273438,5.65193319320679,8.67366790771484,0.956352651119232,0.582851052284241,0.0452896021306515,0.389812082052231,378.451110839844,305.94482421875,23.171257019043,878.833068847656,53.3885917663574
"0",0,34126042,250055,4202895,1.23348426818848,22.5205669403076,0.730227530002594,2924.43603515625,5.91899156570435,20.2761287689209,0.878456234931946,0.576428949832916,0.0463586039841175,0.528522193431854,373.305023193359,367.846252441406,19.6158008575439,758.998168945312,46.8682327270508
"0",0,15507230,309275,4496115,-0.424596875905991,-7.70016288757324,0.75857400894165,2013.10510253906,7.04671478271484,20.832368850708,0.38052299618721,0.531626582145691,0.0836986750364304,0.505313158035278,457.497985839844,254.44660949707,26.0401630401611,737.234436035156,48.8966178894043
"0",0,44717131,357515,4036125,-0.0143736768513918,1.03926753997803,0.727120280265808,2214.74609375,7.7107982635498,22.9683017730713,-0.0804317593574524,0.478851437568665,0.117878124117851,0.603546500205994,453.550018310547,228.361587524414,22.4504165649414,398.915191650391,45.9058113098145
"0",0,42945631,371015,4064025,0.854204654693604,8.0543384552002,0.714707434177399,2781.79516601562,5.99760961532593,18.5779113769531,1.16755878925323,0.529575407505035,0.0524520091712475,0.447055965662003,426.222198486328,319.154998779297,20.9195213317871,646.465881347656,53.4072036743164
"0",0,8896977,489455,4600245,0.379623562097549,2.6740939617157,0.787253439426422,2049.71997070312,7.23743391036987,18.1516704559326,0.222347125411034,0.514277338981628,0.103919520974159,0.716648936271667,569.057739257812,300.228820800781,22.8732318878174,424.709564208984,54.7108879089355
"0",0,30001762,425555,4267875,-1.0657958984375,-10.795464515686,0.569809019565582,2521.56665039062,6.48328828811646,17.0194816589355,0.063691109418869,0.503370940685272,0.120462484657764,0.658189058303833,370.897857666016,224.151550292969,21.2763919830322,474.456390380859,52.1671485900879
"0",0,34139063,393245,4202715,0.712138175964355,5.17444372177124,0.767596006393433,2425.640625,7.07844257354736,18.1037464141846,0.118415795266628,0.50647896528244,0.158931195735931,0.705633640289307,302.771545410156,182.636947631836,24.2176094055176,689.202575683594,43.8939781188965
"0",0,36974331,449765,4158075,-0.162787437438965,-2.5271532535553,0.877321898937225,2683.189453125,7.05835819244385,17.4641342163086,0.127204701304436,0.490815490484238,0.11172142624855,0.641407608985901,335.943878173828,237.973495483398,22.1782474517822,658.467834472656,48.0420570373535
"0",0,43123942,474155,4061235,-0.7575404047966,-10.5464887619019,0.815646588802338,2815.94213867188,5.93445634841919,13.0464210510254,0.486027628183365,0.492860227823257,0.0633155032992363,0.567024648189545,355.138397216797,305.332702636719,19.6806964874268,676.611572265625,48.4195213317871
"0",0,41666591,471815,4084185,-0.368838310241699,-5.64459562301636,0.761052548885345,3538.81689453125,4.26860666275024,9.10997104644775,0.0828005895018578,0.471362501382828,0.0310239624232054,0.524248361587524,228.141525268555,404.131011962891,18.0494556427002,1118.68176269531,52.6595611572266
